stem,location
"House1-64","ia/state/backlog-archive-sections.json:1545:    ""  - Notes: Stage 1.3 Phase 3 closer. Ran `palette extract residential --sources \""Assets/Sprites/Residential/House1-64.png\"" --names \""...\""` (TECH-154 CLI); 8 K-means clusters hand-named. Final slot mapping (sorted HSV V bright→dark): 0=`window_glass` (40,63,206), 1=`wall_brick_red` (196,178,162), 2=`roof_tile_brown` (193,75,75), 3=`concrete` (106,190,48), 4=`wall_brick_grey` (132,120,110), 5=`roof_tile_grey` (128,47,47), 6=`trim` (59,108,25), 7=`mortar` (0,0,0). Decision Log — swapped `shadow` / `highlight` slots for grey-family wall + roof variants so `apply_variant` material-family swaps resolve without `PaletteKeyError`; `.gpl` export deferred to TECH-158; 4 rendered variants read as residential (beige+red v01, grey+red v02–v03, dark-grey+dark v04). Owner signoff."","
"House1-64","ia/state/backlog-archive-sections.json:1602:    ""  - Acceptance: interactive run writes valid `palettes/{class}.json`; non-TTY `--names` path works without stdin; `cli.py palette extract residential --sources \""Assets/Sprites/Residential/House1-64.png\"" --names \""wall_brick_red,roof_tile_brown,window_glass,concrete,trim,shadow,highlight,mortar\""` produces 8-material JSON; `npm run validate:all` green."","
"House1-64","ia/state/backlog-archive-sections.json:1618:    ""  - Acceptance: `extract_palette('residential', [House1-64.png], 8)` returns 8 clusters w/ 3-level ramp; ramp clamp preserves 0–255; deterministic across two runs; alpha-0 ignored; `pytest tools/sprite-gen/tests/test_palette.py` green."","
"House1-64","ia/state/db-snapshot-metadata.sql:2240:> - **L10 (2026-04-23):** Art calibration ground truth = `docs/sprite-gen-art-design-system.md` (DAS). Every Stage 6+ task cites a DAS section (e.g. ""per DAS §4.2"") rather than re-specifying rules inline. Audit corpus = all 197 sprites under `Assets/Sprites/` excluding Icons/Buttons/State/Roads. Primary reference: `House1-64.png` for 1×1; `LightResidentialBuilding-2-128.png` for 2×2; `HeavyIndustrialBuilding-1-192.png` for 3×3."
"House1-64","ia/state/db-snapshot-metadata.sql:2272:- [Stage 6 — Scale calibration + ground diamond primitive (DAS hotfix)](stage-6-scale-calibration-ground-diamond-primitive-das-hotfix.md) — _Final — closed 2026-04-23 (8 tasks **TECH-693**..**TECH-700** archived via `0837d3f`). Shipped as a **standalone hotfix PR** ahead of Stages 7–14 (Lock H2). Closes the 3× scale bug so the current `building_residential_small` archetype visually matches `House1-64.png`._"
"House1-64","ia/state/db-snapshot-metadata.sql:3781:| 2026-04-23 | `content_h ∈ [32, 36]` (±2 of House1-64''s 35) | Catches any drift ≥3 px while tolerating variant permutation | Exact match `content_h == 35` — rejected, variant permutation alters h slightly |"
"House1-64","ia/state/db-snapshot-metadata.sql:4999:INSERT INTO public.ia_stages VALUES ('sprite-gen', '3', 'Geometry MVP / Palette System (Layer 3)', 'Implement K-means palette extraction from existing sprites, per-class palette JSON files, and 3-level ramp enforcement at composition time. Wire palette into `compose.py` so each primitive face pulls correct ramp color from the loaded palette. Bootstrap `palettes/residential.json` from `Assets/Sprites/Residential/House1-64.png`. Add Aseprite `.gpl` round-trip (Tier 1 editor integration) so human-curated palettes can override K-means output per class.', '- `palette.py` `extract_palette(class, sources, n_clusters=8)` produces `palettes/{class}.json` with named materials and 3-level ramp (bright/mid/dark)"
"House1-64","ia/state/db-snapshot-metadata.sql:5028:- `tests/test_scale_calibration.py` — render `building_residential_small_v01.png`; assert content bbox height within `35 ± 3 px`, content bbox y0 within `13 ± 3 px` (matches `House1-64.png` signature per DAS §2.3)."
"House1-64","ia/state/pre-refactor-snapshot/ia/backlog-archive/TECH-153.yaml:14:  `extract_palette('residential', [House1-64.png], 8)` returns 8 clusters w/ 3-level ramp; ramp clamp preserves 0–255; deterministic across two runs; alpha-0 ignored; `pytest tools/sprite-gen/tests/test_palette.py` green."
"House1-64","ia/state/pre-refactor-snapshot/ia/backlog-archive/TECH-153.yaml:26:    - Acceptance: `extract_palette('residential', [House1-64.png], 8)` returns 8 clusters w/ 3-level ramp; ramp clamp preserves 0–255; deterministic across two runs; alpha-0 ignored; `pytest tools/sprite-gen/tests/test_palette.py` green."
"House1-64","ia/state/pre-refactor-snapshot/ia/backlog-archive/TECH-154.yaml:14:  interactive run writes valid `palettes/{class}.json`; non-TTY `--names` path works without stdin; `cli.py palette extract residential --sources ""Assets/Sprites/Residential/House1-64.png"" --names ""wall_brick_red,roof_tile_brown,window_glass,concrete,trim,shadow,highlight,mortar""` produces 8-material JSON; `npm run validate:all` green."
"House1-64","ia/state/pre-refactor-snapshot/ia/backlog-archive/TECH-154.yaml:26:    - Acceptance: interactive run writes valid `palettes/{class}.json`; non-TTY `--names` path works without stdin; `cli.py palette extract residential --sources ""Assets/Sprites/Residential/House1-64.png"" --names ""wall_brick_red,roof_tile_brown,window_glass,concrete,trim,shadow,highlight,mortar""` produces 8-material JSON; `npm run validate:all` green."
"House1-64","ia/state/pre-refactor-snapshot/ia/backlog-archive/TECH-157.yaml:11:  Stage 1.3 Phase 3 closer. Ran `palette extract residential --sources ""Assets/Sprites/Residential/House1-64.png"" --names ""...""` (TECH-154 CLI); 8 K-means clusters hand-named. Final slot mapping (sorted HSV V bright→dark): 0=`window_glass` (40,63,206), 1=`wall_brick_red` (196,178,162), 2=`roof_tile_brown` (193,75,75), 3=`concrete` (106,190,48), 4=`wall_brick_grey` (132,120,110), 5=`roof_tile_grey` (128,47,47), 6=`trim` (59,108,25), 7=`mortar` (0,0,0). Decision Log — swapped `shadow` / `highlight` slots for grey-family wall + roof variants so `apply_variant` material-family swaps resolve without `PaletteKeyError`; `.gpl` export deferred to TECH-158; 4 rendered variants read as residential (beige+red v01, grey+red v02–v03, dark-grey+dark v04). Owner signoff."
"House1-64","ia/state/pre-refactor-snapshot/ia/backlog-archive/TECH-157.yaml:25:    - Notes: Stage 1.3 Phase 3 closer. Ran `palette extract residential --sources ""Assets/Sprites/Residential/House1-64.png"" --names ""...""` (TECH-154 CLI); 8 K-means clusters hand-named. Final slot mapping (sorted HSV V bright→dark): 0=`window_glass` (40,63,206), 1=`wall_brick_red` (196,178,162), 2=`roof_tile_brown` (193,75,75), 3=`concrete` (106,190,48), 4=`wall_brick_grey` (132,120,110), 5=`roof_tile_grey` (128,47,47), 6=`trim` (59,108,25), 7=`mortar` (0,0,0). Decision Log — swapped `shadow` / `highlight` slots for grey-family wall + roof variants so `apply_variant` material-family swaps resolve without `PaletteKeyError`; `.gpl` export deferred to TECH-158; 4 rendered variants read as residential (beige+red v01, grey+red v02–v03, dark-grey+dark v04). Owner signoff."
"House1-64","ia/state/pre-refactor-snapshot/ia/projects/sprite-gen-master-plan.md:53:- Promoted sprite in `Assets/Sprites/Generated/` loads in Unity with PPU=64, pivot computed as `(0.5, 16/canvas_height)`, Point filter, no compression — validated against `Assets/Sprites/Residential/House1-64.png` reference"
"House1-64","ia/state/pre-refactor-snapshot/ia/projects/sprite-gen-master-plan.md:58:**Art:** `Assets/Sprites/Residential/House1-64.png` — palette extraction reference (existing). `Assets/Sprites/Slopes/` — slope code reference (existing, 17 land variants). `Assets/Sprites/Generated/` — promote destination (new)."
"House1-64","ia/state/pre-refactor-snapshot/ia/projects/sprite-gen-master-plan.md:64:- `Assets/Sprites/Residential/House1-64.png` — K-means palette extraction source + promote/pivot validation reference"
"House1-64","ia/state/pre-refactor-snapshot/ia/projects/sprite-gen-master-plan.md:141:**Objectives:** Implement K-means palette extraction from existing sprites, per-class palette JSON files, and 3-level ramp enforcement at composition time. Wire palette into `compose.py` so each primitive face pulls correct ramp color from the loaded palette. Bootstrap `palettes/residential.json` from `Assets/Sprites/Residential/House1-64.png`. Add Aseprite `.gpl` round-trip (Tier 1 editor integration) so human-curated palettes can override K-means output per class."
"House1-64","ia/state/pre-refactor-snapshot/ia/projects/sprite-gen-master-plan.md:170:| T1.3.6 | Bootstrap residential palette | 3 | **TECH-157** | Done (archived) | Run `palette extract residential --sources ""Assets/Sprites/Residential/House1-64.png""` (or equivalent direct call); hand-name 8 clusters → produce `tools/sprite-gen/palettes/residential.json` with at minimum: wall_brick_red, roof_tile_brown, window_glass, concrete; check in JSON file |"
"House1","ia/state/backlog-archive-sections.json:1545:    ""  - Notes: Stage 1.3 Phase 3 closer. Ran `palette extract residential --sources \""Assets/Sprites/Residential/House1-64.png\"" --names \""...\""` (TECH-154 CLI); 8 K-means clusters hand-named. Final slot mapping (sorted HSV V bright→dark): 0=`window_glass` (40,63,206), 1=`wall_brick_red` (196,178,162), 2=`roof_tile_brown` (193,75,75), 3=`concrete` (106,190,48), 4=`wall_brick_grey` (132,120,110), 5=`roof_tile_grey` (128,47,47), 6=`trim` (59,108,25), 7=`mortar` (0,0,0). Decision Log — swapped `shadow` / `highlight` slots for grey-family wall + roof variants so `apply_variant` material-family swaps resolve without `PaletteKeyError`; `.gpl` export deferred to TECH-158; 4 rendered variants read as residential (beige+red v01, grey+red v02–v03, dark-grey+dark v04). Owner signoff."","
"House1","ia/state/backlog-archive-sections.json:1602:    ""  - Acceptance: interactive run writes valid `palettes/{class}.json`; non-TTY `--names` path works without stdin; `cli.py palette extract residential --sources \""Assets/Sprites/Residential/House1-64.png\"" --names \""wall_brick_red,roof_tile_brown,window_glass,concrete,trim,shadow,highlight,mortar\""` produces 8-material JSON; `npm run validate:all` green."","
"House1","ia/state/backlog-archive-sections.json:1618:    ""  - Acceptance: `extract_palette('residential', [House1-64.png], 8)` returns 8 clusters w/ 3-level ramp; ramp clamp preserves 0–255; deterministic across two runs; alpha-0 ignored; `pytest tools/sprite-gen/tests/test_palette.py` green."","
"House1","ia/state/db-snapshot-metadata.sql:2240:> - **L10 (2026-04-23):** Art calibration ground truth = `docs/sprite-gen-art-design-system.md` (DAS). Every Stage 6+ task cites a DAS section (e.g. ""per DAS §4.2"") rather than re-specifying rules inline. Audit corpus = all 197 sprites under `Assets/Sprites/` excluding Icons/Buttons/State/Roads. Primary reference: `House1-64.png` for 1×1; `LightResidentialBuilding-2-128.png` for 2×2; `HeavyIndustrialBuilding-1-192.png` for 3×3."
"House1","ia/state/db-snapshot-metadata.sql:2272:- [Stage 6 — Scale calibration + ground diamond primitive (DAS hotfix)](stage-6-scale-calibration-ground-diamond-primitive-das-hotfix.md) — _Final — closed 2026-04-23 (8 tasks **TECH-693**..**TECH-700** archived via `0837d3f`). Shipped as a **standalone hotfix PR** ahead of Stages 7–14 (Lock H2). Closes the 3× scale bug so the current `building_residential_small` archetype visually matches `House1-64.png`._"
"House1","ia/state/db-snapshot-metadata.sql:3781:| 2026-04-23 | `content_h ∈ [32, 36]` (±2 of House1-64''s 35) | Catches any drift ≥3 px while tolerating variant permutation | Exact match `content_h == 35` — rejected, variant permutation alters h slightly |"
"House1","ia/state/db-snapshot-metadata.sql:4999:INSERT INTO public.ia_stages VALUES ('sprite-gen', '3', 'Geometry MVP / Palette System (Layer 3)', 'Implement K-means palette extraction from existing sprites, per-class palette JSON files, and 3-level ramp enforcement at composition time. Wire palette into `compose.py` so each primitive face pulls correct ramp color from the loaded palette. Bootstrap `palettes/residential.json` from `Assets/Sprites/Residential/House1-64.png`. Add Aseprite `.gpl` round-trip (Tier 1 editor integration) so human-curated palettes can override K-means output per class.', '- `palette.py` `extract_palette(class, sources, n_clusters=8)` produces `palettes/{class}.json` with named materials and 3-level ramp (bright/mid/dark)"
"House1","ia/state/db-snapshot-metadata.sql:5028:- `tests/test_scale_calibration.py` — render `building_residential_small_v01.png`; assert content bbox height within `35 ± 3 px`, content bbox y0 within `13 ± 3 px` (matches `House1-64.png` signature per DAS §2.3)."
"House1","ia/state/pre-refactor-snapshot/ia/backlog-archive/TECH-153.yaml:14:  `extract_palette('residential', [House1-64.png], 8)` returns 8 clusters w/ 3-level ramp; ramp clamp preserves 0–255; deterministic across two runs; alpha-0 ignored; `pytest tools/sprite-gen/tests/test_palette.py` green."
"House1","ia/state/pre-refactor-snapshot/ia/backlog-archive/TECH-153.yaml:26:    - Acceptance: `extract_palette('residential', [House1-64.png], 8)` returns 8 clusters w/ 3-level ramp; ramp clamp preserves 0–255; deterministic across two runs; alpha-0 ignored; `pytest tools/sprite-gen/tests/test_palette.py` green."
